question,session_id,category,timestamp,id,verified_proof,test_run,is_integration_test,answer_preview
"Hi, aku mau tau dong manfaat sauna buat tubuh apa aja",0a8d4f3a-37a3-41cb-b712-b4dcf9161966,General,2026-06-07 03:51:06.258000+00:00,Kw04PA6pEkZ4TiHVofjx,,,,
16 hours fasting?,e77acc12-4383-4321-914a-555372755dbc,General,2026-06-11 01:30:46.711000+00:00,LA2WqrqD0Ov8OmrwoR8H,,,,
Tell me about Ginseng benefits in TCM.,3552f2a3-04c2-4a48-9249-d470c3e65c85,General,2026-06-01 15:56:45.430000+00:00,LQBrxNp7UY3WkyDYEKEw,,True,,
skincare,536f5a2e-ab6b-4e3b-89a7-dfcf201b4b3d,Skincare,2026-06-06 09:44:43.079000+00:00,NYRrVHbmxA6fy1VeU9fE,,,,
u can also utilize this tech and algorithm to tackle skin care issue?,32b2520b-8f50-4e3e-8764-145bb851a8c4,Skincare,2026-06-13 06:14:20.468000+00:00,PBA3KZcc6mJgTvC8HV3I,,,,
What should I eat for better digestion?,195be96a-31dd-44dc-8a62-98d2399fd2e8,General,2026-06-01 15:56:59.447000+00:00,PRNxELT9gBmvVipeJxFf,,True,,
How about protein power,e77acc12-4383-4321-914a-555372755dbc,Nutrition,2026-06-11 01:31:29.331000+00:00,PjUxuuYryYxXunBYH19a,,,,
Booat vitality ,f4f764ab-bd03-4c89-879f-73a8a455d913,General,2026-06-09 02:12:47.350000+00:00,QM2W50WM0tdzSTwJxfgD,,,,
Who r u,d5f0fcb3-a208-475d-a849-f4daf69af0c2,General,2026-06-06 10:04:53.263000+00:00,S6K136xQ23BBueeJXAdQ,,,,
Tell me about Ginseng benefits in TCM.,38b19d51-14d2-43d6-ab30-680d51b71254,General,2026-06-01 15:55:51.074000+00:00,V4KbnWOXieCLboZ42CUP,,True,,
Tell me about Ginseng benefits in TCM.,996eab1c-de85-4bcf-8e8b-d798656f933a,General,2026-06-01 15:56:52.512000+00:00,XHYgz5rLnCBUuMjqXRHR,,True,,
i need tcm advice for vatality,21f9db7c-a652-4de3-baf2-9997b2e598bf,General,2026-06-02 08:00:06.209000+00:00,XXhMbVB4CHRycpZHWm6Q,,,,
i want lose weight plan,536f5a2e-ab6b-4e3b-89a7-dfcf201b4b3d,General,2026-06-06 09:49:32.744000+00:00,Z59tApvVw6tlz1AvJiFl,,,,
"Aku sangat stres dan 
tidak bisa tidur, tolong bantu aku",64a4b397-aada-4511-b117-32cfd0338ff9,General,2026-06-12 10:17:37.529000+00:00,a5xmTEKDJdrnVuE7i3fQ,,,,
User Test B: TCM Herbs,FINAL-PROOFS-94e270,,2026-06-02 07:59:19.877000+00:00,aNaSBWbMpITKXaqYq8r3,True,,,
I need help with my dry skin.,38b19d51-14d2-43d6-ab30-680d51b71254,Skincare,2026-06-01 15:55:49.579000+00:00,b8E9GHtKDbxUtiiruOmF,,True,,
Tell me about Ginseng benefits in TCM.,d01b44b8-c49a-430f-85d2-7b1b1c5a33c7,General,2026-06-04 05:24:39.425000+00:00,bmiNUFsI23VmBVIUb6VE,,True,,
obat untuk dada sesak,6ec64ea4-cada-4c15-b707-757d3f3e9db0,General,2026-06-07 02:34:42.705000+00:00,c4qAav6T0rFA4KDMYBNA,,,,
What is the Five Elements theory?,INTEGRATION-TEST-037cf480,General,2026-06-01 16:32:49.691000+00:00,cCea6KJFzQYJOyYaq01i,,,True,"The Five Elements theory, also known as the Wǔ Xín..."
how can you help,a3724450-b056-4cb5-a036-f033607ecbc9,General,2026-06-07 03:21:00.964000+00:00,gaQg4g4u1ZGnzwcNBr1n,,,,
who r u,0677f4bc-fa87-4e06-8849-4d6ddf468086,General,2026-06-06 09:27:08.490000+00:00,gkc0ghq7rOho0OS5CtXK,,,,
Ada manfaat buat kulit gak?,0a8d4f3a-37a3-41cb-b712-b4dcf9161966,General,2026-06-07 03:54:23.570000+00:00,hgYkVZimlB916vwdeI7Y,,,,
I need help with my dry skin.,d01b44b8-c49a-430f-85d2-7b1b1c5a33c7,Skincare,2026-06-04 05:24:37.993000+00:00,ipLJDJfifKTG2J8cfV9I,,True,,
"u have the tuying quantum inspired algorithm core, how u can enhance you power with this ",32b2520b-8f50-4e3e-8764-145bb851a8c4,TCM,2026-06-13 06:10:32.325000+00:00,khg8auOYEmgKPt17xzUA,,,,
Tell me about Ginseng benefits in TCM.,195be96a-31dd-44dc-8a62-98d2399fd2e8,General,2026-06-01 15:56:58.327000+00:00,kmX33gTeaXXb4wAAafsJ,,True,,
I'm over 50 year old male and work and vatality is my concern,e77acc12-4383-4321-914a-555372755dbc,General,2026-06-11 01:29:53.559000+00:00,lTd8kdfRRavW5DECeS39,,,,
I need help with my dry skin.,3552f2a3-04c2-4a48-9249-d470c3e65c85,Skincare,2026-06-01 15:56:44.106000+00:00,lmlDTs4meH3qlapFlYRi,,True,,
What's up,e77acc12-4383-4321-914a-555372755dbc,General,2026-06-11 01:29:12.082000+00:00,mXBSUOs8H9xfH6olC9iH,,,,
What should I eat for better digestion?,38b19d51-14d2-43d6-ab30-680d51b71254,General,2026-06-01 15:55:52.289000+00:00,mrjEk0TjSAQweLgFkciV,,True,,
"""What is the MTHFR gene and how does it relate to my Spleen Qi",295fd48f-4458-4630-b615-5bdfdd20090e,TCM,2026-06-10 15:35:41.526000+00:00,owy5SckS6KRGcT3aeLti,,,,
My skin is glowing but a bit dry.,INTEGRATION-TEST-037cf480,Skincare,2026-06-01 16:32:47.322000+00:00,pzRIv11hqfUb07Q6FKKF,,,True,It sounds like your skin is in a bit of a mixed st...
I need help with my dry skin.,996eab1c-de85-4bcf-8e8b-d798656f933a,Skincare,2026-06-01 15:56:51.180000+00:00,qFS1NKQaTBZbLFE1UQ3I,,True,,
can i get rid of the golden circle.. only logo,0677f4bc-fa87-4e06-8849-4d6ddf468086,General,2026-06-06 09:17:26.507000+00:00,r6t9zevZywDp3cscg6vG,,,,
cream berjerawat ,0490974e-f942-45bd-a1c1-5ec5204b5117,General,2026-06-07 02:36:29.247000+00:00,s0YfWPur5hMKOxn0NLxC,,,,
who r u,536f5a2e-ab6b-4e3b-89a7-dfcf201b4b3d,General,2026-06-06 09:43:50.570000+00:00,sMQdFHD41dwI9r37DLje,,,,
what advise u can give,32b2520b-8f50-4e3e-8764-145bb851a8c4,General,2026-06-13 06:07:40.959000+00:00,sTbZ51X7aRSnKWhKtxyp,,,,
What should I eat for better digestion?,3552f2a3-04c2-4a48-9249-d470c3e65c85,General,2026-06-01 15:56:46.557000+00:00,t4arPc55BKsNkxaAXy8O,,True,,
who r u,a3724450-b056-4cb5-a036-f033607ecbc9,General,2026-06-07 03:20:32.260000+00:00,tKFnLcX5gIgvHBENvQbV,,,,
What should I eat for better digestion?,996eab1c-de85-4bcf-8e8b-d798656f933a,General,2026-06-01 15:56:53.634000+00:00,wzMca8YfkLUlV7otVj0d,,True,,
why there is no content,536f5a2e-ab6b-4e3b-89a7-dfcf201b4b3d,General,2026-06-06 09:44:29.225000+00:00,xJRkbVtgjHWAFLeBDH70,,,,
who r u,295fd48f-4458-4630-b615-5bdfdd20090e,General,2026-06-10 15:26:47.807000+00:00,yyyGwAoI7VPOoWMrmdPS,,,,
so u can combine western genetic science with TCM effectively with help of this algorithm?,32b2520b-8f50-4e3e-8764-145bb851a8c4,General,2026-06-13 06:12:47.017000+00:00,zDm36twvpeXJdAmSgRe4,,,,
